kode,role_name,jenis,detail
KS-ALL-LEAD-004,Kepala Sekolah,DIBUANG_RETIRE,Final_Decision = Retire
KS-ALL-ADMIN-006,Kepala Sekolah,DIBUANG_RETIRE,Final_Decision = Retire
KS-ALL-LEAD-007,Kepala Sekolah,DIBUANG_RETIRE,Final_Decision = Retire
KS-ALL-ADMIN-010,Kepala Sekolah,KONDISI_DIREKONSTRUKSI_Z_TERTIMPA_FREKUENSI,"Z_asli='Bulanan' AA_asli='Bulanan' -> kondisi='Baseline' frekuensi='Bulanan' (keyakinan=1.00, metode=frekuensi+cluster (n=26), perlu_review=tidak)"
KS-ALL-ADMIN-011,Kepala Sekolah,KONDISI_DIREKONSTRUKSI_Z_TERTIMPA_FREKUENSI,"Z_asli='Bulanan' AA_asli='Bulanan' -> kondisi='Baseline' frekuensi='Bulanan' (keyakinan=1.00, metode=frekuensi+cluster (n=26), perlu_review=tidak)"
KS-ALL-STUSUP-008,Kepala Sekolah,KONDISI_DIREKONSTRUKSI_Z_TERTIMPA_FREKUENSI,"Z_asli='Insidental' AA_asli='Insidental' -> kondisi='Baseline' frekuensi='Insidental' (keyakinan=0.64, metode=frekuensi+cluster (n=22), perlu_review=ya)"
KS-ALL-STUSUP-009,Kepala Sekolah,KONDISI_DIREKONSTRUKSI_Z_TERTIMPA_FREKUENSI,"Z_asli='Semesteran' AA_asli='Semesteran' -> kondisi='Peak' frekuensi='Semesteran' (keyakinan=0.65, metode=frekuensi+cluster (n=17), perlu_review=ya)"
KS-ALL-LEAD-014,Kepala Sekolah,KONDISI_DIREKONSTRUKSI_Z_TERTIMPA_FREKUENSI,"Z_asli='Insidental' AA_asli='Insidental' -> kondisi='Peak' frekuensi='Insidental' (keyakinan=0.91, metode=frekuensi+cluster (n=46), perlu_review=tidak)"
KS-ALL-LEAD-015,Kepala Sekolah,KONDISI_DIREKONSTRUKSI_Z_TERTIMPA_FREKUENSI,"Z_asli='Insidental' AA_asli='Insidental' -> kondisi='Peak' frekuensi='Insidental' (keyakinan=0.91, metode=frekuensi+cluster (n=46), perlu_review=tidak)"
KS-ALL-LEAD-016,Kepala Sekolah,KONDISI_DIREKONSTRUKSI_Z_TERTIMPA_FREKUENSI,"Z_asli='Insidental' AA_asli='Insidental' -> kondisi='Peak' frekuensi='Insidental' (keyakinan=0.91, metode=frekuensi+cluster (n=46), perlu_review=tidak)"
KS-ALL-LEAD-027,Kepala Sekolah,KONDISI_DIREKONSTRUKSI_Z_TERTIMPA_FREKUENSI,"Z_asli='Semesteran' AA_asli='Semesteran' -> kondisi='Peak' frekuensi='Semesteran' (keyakinan=0.73, metode=frekuensi+cluster (n=67), perlu_review=ya)"
KS-ALL-LEAD-028,Kepala Sekolah,KONDISI_DIREKONSTRUKSI_Z_TERTIMPA_FREKUENSI,"Z_asli='Semesteran' AA_asli='Semesteran' -> kondisi='Peak' frekuensi='Semesteran' (keyakinan=0.73, metode=frekuensi+cluster (n=67), perlu_review=ya)"
