Task_ID,Role_Name,Z_asli,AA_asli,CF30_Cluster,kasus,kondisi_final,frekuensi_final,keyakinan,metode,perlu_review
KS-ALL-ADMIN-010,Kepala Sekolah,Bulanan,Bulanan,Admin & Documentation,Z_TERTIMPA_FREKUENSI,Baseline,Bulanan,1.00,frekuensi+cluster (n=26),tidak
KS-ALL-ADMIN-011,Kepala Sekolah,Bulanan,Bulanan,Admin & Documentation,Z_TERTIMPA_FREKUENSI,Baseline,Bulanan,1.00,frekuensi+cluster (n=26),tidak
KS-ALL-STUSUP-008,Kepala Sekolah,Insidental,Insidental,Student Support,Z_TERTIMPA_FREKUENSI,Baseline,Insidental,0.64,frekuensi+cluster (n=22),ya
KS-ALL-STUSUP-009,Kepala Sekolah,Semesteran,Semesteran,Student Support,Z_TERTIMPA_FREKUENSI,Peak,Semesteran,0.65,frekuensi+cluster (n=17),ya
KS-ALL-LEAD-014,Kepala Sekolah,Insidental,Insidental,Leadership & Management,Z_TERTIMPA_FREKUENSI,Peak,Insidental,0.91,frekuensi+cluster (n=46),tidak
KS-ALL-LEAD-015,Kepala Sekolah,Insidental,Insidental,Leadership & Management,Z_TERTIMPA_FREKUENSI,Peak,Insidental,0.91,frekuensi+cluster (n=46),tidak
KS-ALL-LEAD-016,Kepala Sekolah,Insidental,Insidental,Leadership & Management,Z_TERTIMPA_FREKUENSI,Peak,Insidental,0.91,frekuensi+cluster (n=46),tidak
KS-ALL-LEAD-027,Kepala Sekolah,Semesteran,Semesteran,Leadership & Management,Z_TERTIMPA_FREKUENSI,Peak,Semesteran,0.73,frekuensi+cluster (n=67),ya
KS-ALL-LEAD-028,Kepala Sekolah,Semesteran,Semesteran,Leadership & Management,Z_TERTIMPA_FREKUENSI,Peak,Semesteran,0.73,frekuensi+cluster (n=67),ya
KS-ALL-LEAD-029,Kepala Sekolah,Semesteran,Semesteran,Leadership & Management,Z_TERTIMPA_FREKUENSI,Peak,Semesteran,0.73,frekuensi+cluster (n=67),ya
KS-ALL-LEAD-032,Kepala Sekolah,Semesteran,Semesteran,Leadership & Management,Z_TERTIMPA_FREKUENSI,Peak,Semesteran,0.73,frekuensi+cluster (n=67),ya
KS-ALL-LEAD-037,Kepala Sekolah,Bulanan,Bulanan,Leadership & Management,Z_TERTIMPA_FREKUENSI,Baseline,Bulanan,0.94,frekuensi+cluster (n=52),tidak
KS-ALL-LEAD-041,Kepala Sekolah,Semesteran,Semesteran,Leadership & Management,Z_TERTIMPA_FREKUENSI,Peak,Semesteran,0.73,frekuensi+cluster (n=67),ya
KS-ALL-LEAD-042,Kepala Sekolah,Semesteran,Semesteran,Leadership & Management,Z_TERTIMPA_FREKUENSI,Peak,Semesteran,0.73,frekuensi+cluster (n=67),ya
KS-ALL-LEAD-043,Kepala Sekolah,Semesteran,Semesteran,Leadership & Management,Z_TERTIMPA_FREKUENSI,Peak,Semesteran,0.73,frekuensi+cluster (n=67),ya
KS-ALL-ADMIN-020,Kepala Sekolah,Insidental,Insidental,Leadership & Management,Z_TERTIMPA_FREKUENSI,Peak,Insidental,0.91,frekuensi+cluster (n=46),tidak
